NoClase,precision,recall,f1-score
0,1,1,1
1,1,1,1
2,1,1,1
3,0.872340426,0.976190476,0.921348315
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,1,1
10,0.916666667,1,0.956521739
11,0.833333333,1,0.909090909
12,0.85,1,0.918918919
13,1,0.933333333,0.965517241
14,1,1,1
15,1,1,1
16,1,1,1
17,0.96,0.979591837,0.96969697
18,1,1,1
19,0.909090909,1,0.952380952
20,1,0.25,0.4
21,0.716666667,0.716666667,0.716666667
22,1,1,1
23,0.8,1,0.888888889
24,1,1,1
25,1,1,1
26,0.833333333,1,0.909090909
27,0,0,0
28,0.8,0.923076923,0.857142857
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,0.947368421,1,0.972972973
38,1,0.666666667,0.8
39,1,1,1
40,1,1,1
41,1,0.666666667,0.8
42,1,1,1
43,1,1,1
44,0.555555556,0.833333333,0.666666667
45,0.857142857,0.857142857,0.857142857
46,0.704918033,0.716666667,0.710743802
47,0.875,1,0.933333333
48,1,1,1
49,1,1,1
50,0.923076923,0.72,0.808988764
51,0.571428571,0.8,0.666666667
52,0.666666667,0.666666667,0.666666667
53,0.62962963,0.708333333,0.666666667
54,1,1,1
55,1,1,1
56,0.6,1,0.75
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,1,1,1
63,0,0,0
64,1,1,1
65,0.9,1,0.947368421
66,1,1,1
67,1,0.6,0.75
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,0.5,0.333333333,0.4
77,1,1,1
78,0.666666667,1,0.8
79,1,1,1
80,1,1,1
81,0.75,1,0.857142857
82,1,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,0.705882353,1,0.827586207
87,1,0.857142857,0.923076923
88,1,0.5,0.666666667
89,1,1,1
90,1,0.5,0.666666667
91,1,1,1
92,1,1,1
93,1,1,1
94,0.791666667,0.95,0.863636364
95,0,0,0
96,1,1,1
97,1,1,1
98,1,0.666666667,0.8
99,1,1,1
100,1,1,1
101,1,0.333333333,0.5
102,1,1,1
103,1,1,1
104,1,0.333333333,0.5
105,1,1,1
106,1,1,1
107,1,1,1
108,0.916666667,0.916666667,0.916666667
109,1,1,1
110,0.4,1,0.571428571
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,0.923076923,1,0.96
116,1,1,1
117,1,0.5,0.666666667
118,1,0.666666667,0.8
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,0,0,0
125,1,1,1
126,1,0.428571429,0.6
127,1,0.8,0.888888889
128,1,1,1
129,0.666666667,0.75,0.705882353
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,1,1,1
145,1,0.333333333,0.5
146,0.933333333,1,0.965517241
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,0.473684211,0.642857143,0.545454545
153,1,1,1
154,1,1,1
155,1,1,1
156,1,1,1
157,1,0.666666667,0.8
158,1,1,1
159,1,1,1
160,0.777777778,0.954545455,0.857142857
161,1,0.75,0.857142857
162,1,1,1
163,1,1,1
164,1,1,1
165,1,1,1
166,1,0.5,0.666666667
167,1,1,1
168,1,1,1
169,1,0.666666667,0.8
170,1,1,1
171,0,0,0
172,1,1,1
173,1,0.666666667,0.8
174,0.833333333,0.714285714,0.769230769
175,1,1,1
176,0.684210526,1,0.8125
177,1,1,1
178,1,1,1
179,1,1,1
180,1,1,1
181,1,1,1
182,1,1,1
183,1,1,1
184,1,1,1
185,1,1,1
186,0,0,0
187,1,0.5,0.666666667
188,1,1,1
189,0.5,0.75,0.6
190,1,0.5,0.666666667
191,1,1,1
192,1,1,1
193,1,1,1
194,1,1,1
195,1,1,1
196,1,1,1
197,1,1,1
198,1,1,1
199,1,1,1
200,1,1,1
201,1,1,1
202,0.941176471,1,0.96969697
203,1,1,1
204,1,1,1
205,1,1,1
206,1,1,1
207,1,1,1
208,1,0.666666667,0.8
209,0.9,1,0.947368421
210,1,1,1
211,1,0.8,0.888888889
212,1,1,1
213,0.671641791,0.75,0.708661417
214,1,0.6,0.75
215,1,0.916666667,0.956521739
216,1,1,1
217,1,1,1
218,1,1,1
219,0.666666667,1,0.8
220,1,1,1
221,1,0.5,0.666666667
222,1,1,1
223,0.8,1,0.888888889
224,1,1,1
225,1,1,1
226,1,1,1
227,1,1,1
228,1,0.25,0.4
229,1,1,1
230,1,0.857142857,0.923076923
231,1,1,1
232,1,1,1
233,1,1,1
234,1,1,1
235,1,1,1
236,1,1,1
237,1,1,1
238,1,1,1
239,1,1,1
240,1,1,1
241,1,1,1
242,1,0.6,0.75
243,1,1,1
244,1,1,1
245,1,1,1
246,1,1,1
247,1,1,1
248,1,1,1
249,0.84,0.7,0.763636364
250,1,1,1
251,1,1,1
252,1,1,1
253,1,1,1
254,1,1,1
255,1,1,1
256,1,1,1
257,1,1,1
258,1,1,1
259,1,1,1
260,1,1,1
261,1,1,1
262,0,0,0
263,0.714285714,0.916666667,0.802919708
264,1,1,1
265,1,1,1
266,1,1,1
267,1,1,1
268,1,1,1
269,1,1,1
270,1,1,1
271,1,0.8,0.888888889
272,0.5,1,0.666666667
273,1,1,1
274,1,1,1
275,0.823529412,0.893617021,0.857142857
276,1,1,1
277,0.8,0.8,0.8
278,0.818181818,0.9,0.857142857
279,1,0.333333333,0.5
280,0.5,0.8,0.615384615
281,0.893939394,0.983333333,0.936507937
282,0.692307692,0.9,0.782608696
283,0.5,0.2,0.285714286
284,0.818181818,0.428571429,0.5625
285,0.8,0.8,0.8
286,0.9375,0.789473684,0.857142857
287,0.918032787,0.933333333,0.925619835
288,0,0,0
289,0.6,0.333333333,0.428571429
290,1,1,1
291,0.983333333,0.983333333,0.983333333
292,1,1,1
293,0,0,0
294,1,0.6,0.75
295,0.166666667,0.25,0.2
296,1,1,1
297,1,0.9375,0.967741935
298,0.815384615,0.883333333,0.848
299,1,0.5,0.666666667
300,0.797101449,0.916666667,0.852713178
301,0.333333333,0.111111111,0.166666667
302,1,1,1
303,0.982142857,0.916666667,0.948275862
304,1,0.5,0.666666667
305,1,0.75,0.857142857
306,0.8125,0.928571429,0.866666667
307,0.785714286,0.6875,0.733333333
308,0.8,1,0.888888889
309,0.75,0.3,0.428571429
310,0.807017544,0.766666667,0.786324786
311,0.833333333,1,0.909090909
312,0.647058824,0.733333333,0.6875
313,1,1,1
314,1,1,1
315,1,0.6,0.75
316,0.5,0.666666667,0.571428571
317,0.877192982,0.833333333,0.854700855
318,0.5,0.142857143,0.222222222
319,1,1,1
320,1,1,1
321,0.947368421,0.6,0.734693878
322,0.25,0.2,0.222222222
323,1,0.846153846,0.916666667
324,1,1,1
325,0.980392157,0.833333333,0.900900901
326,1,1,1
327,1,1,1
328,0.8125,0.866666667,0.838709677
329,1,1,1
330,1,1,1
331,1,1,1
332,0.833333333,0.555555556,0.666666667
333,1,1,1
334,1,1,1
335,1,0.75,0.857142857
336,1,1,1
337,1,1,1
338,0.833333333,1,0.909090909
339,1,1,1
340,0.875,0.7,0.777777778
341,1,1,1
342,0.742857143,0.866666667,0.8
343,0.911764706,0.885714286,0.898550725
344,1,1,1
345,1,1,1
346,1,1,1
347,1,1,1
348,1,1,1
349,1,1,1
350,1,1,1
351,1,1,1
352,0,0,0
353,1,0.333333333,0.5
354,1,0.714285714,0.833333333
355,0.923076923,0.923076923,0.923076923
356,0.75,0.75,0.75
357,1,1,1
358,1,1,1
359,1,0.75,0.857142857
360,0.833333333,0.833333333,0.833333333
361,0.5,0.5,0.5
362,0.8,0.888888889,0.842105263
363,1,1,1
364,0.736111111,0.883333333,0.803030303
365,1,1,1
366,1,0.4,0.571428571
367,1,1,1
368,1,1,1
369,1,0.666666667,0.8
370,1,1,1
371,0.75,1,0.857142857
372,1,1,1
373,1,1,1
374,0.714285714,1,0.833333333
375,1,1,1
376,1,1,1
377,1,1,1
378,1,0.833333333,0.909090909
379,1,1,1
380,0.833333333,1,0.909090909
381,1,0.4,0.571428571
382,0.857142857,1,0.923076923
383,0.625,0.555555556,0.588235294
384,1,1,1
385,1,1,1
386,1,0.857142857,0.923076923
387,0.5,0.285714286,0.363636364
388,1,1,1
389,1,1,1
390,1,1,1
391,0.857142857,0.818181818,0.837209302
392,1,1,1
393,1,0.833333333,0.909090909
394,0.923076923,1,0.96
395,1,0.666666667,0.8
396,1,0.5,0.666666667
397,1,1,1
398,0.782608696,1,0.87804878
399,1,0.5625,0.72
400,0.8,0.8,0.8
401,0.75,1,0.857142857
402,1,1,1
403,1,0.666666667,0.8
404,0.909090909,0.909090909,0.909090909
405,1,1,1
406,1,1,1
407,0.925,0.948717949,0.936708861
408,0.916666667,1,0.956521739
409,0.529411765,0.947368421,0.679245283
410,1,1,1
411,1,0.909090909,0.952380952
412,0,0,0
413,1,1,1
414,1,0.333333333,0.5
415,0.923076923,0.8,0.857142857
416,0.5,0.5,0.5
417,0.733333333,0.733333333,0.733333333
418,0.818181818,0.692307692,0.75
419,0.857142857,1,0.923076923
420,0,0,0
421,0,0,0
422,0,0,0
423,0.857142857,1,0.923076923
424,0,0,0
425,1,0.75,0.857142857
426,0.833333333,1,0.909090909
427,1,0.888888889,0.941176471
428,0.888888889,0.8,0.842105263
429,1,1,1
430,1,1,1
431,1,0.666666667,0.8
432,0,0,0
433,1,0.5,0.666666667
434,1,0.333333333,0.5
435,1,1,1
436,1,0.571428571,0.727272727
437,0.818181818,0.818181818,0.818181818
438,0.888888889,0.888888889,0.888888889
439,1,1,1
440,1,1,1
441,0.833333333,1,0.909090909
442,0.8,1,0.888888889
443,0.75,0.5,0.6
444,1,1,1
445,0.888888889,1,0.941176471
446,0.833333333,0.833333333,0.833333333
447,1,0.5,0.666666667
448,0.8,1,0.888888889
449,0,0,0
450,0.8,1,0.888888889
451,0,0,0
452,1,1,1
453,1,0.5,0.666666667
454,1,1,1
455,1,0.5,0.666666667
456,0,0,0
457,0,0,0
458,0.5,0.4,0.444444444
459,0.8,0.8,0.8
460,1,1,1
461,1,1,1
462,1,1,1
463,1,1,1
464,1,1,1
465,1,1,1
466,1,0.888888889,0.941176471
467,1,1,1
468,0,0,0
469,1,1,1
470,0.8,1,0.888888889
471,0.882352941,0.9375,0.909090909
472,1,1,1
473,1,0.5,0.666666667
474,1,1,1
475,0.769230769,1,0.869565217
476,1,0.5,0.666666667
477,1,1,1
478,1,1,1
479,0.965517241,0.965517241,0.965517241
480,1,1,1
481,1,1,1
482,1,1,1
483,1,1,1
484,1,0.666666667,0.8
485,1,1,1
486,1,1,1
487,1,1,1
488,1,1,1
489,1,1,1
490,1,0.5,0.666666667
491,1,1,1
492,1,1,1
